2021-02-01 17:05:09.432254,slug,Baptiste,All Damage Done - Most in Life,2499
2021-02-01 17:05:09.432254,slug,Baptiste,Barrier Damage Done - Most in Game,3467
2021-02-01 17:05:09.432254,slug,Baptiste,Critical Hits - Most in Game,16
2021-02-01 17:05:09.432254,slug,Baptiste,Critical Hits - Most in Life,15
2021-02-01 17:05:09.432254,slug,Baptiste,Eliminations - Most in Game,17
2021-02-01 17:05:09.432254,slug,Baptiste,Eliminations - Most in Life,8
2021-02-01 17:05:09.432254,slug,Baptiste,Final Blows - Most in Game,4
2021-02-01 17:05:09.432254,slug,Baptiste,Hero Damage Done - Most in Game,5490
2021-02-01 17:05:09.432254,slug,Baptiste,Hero Damage Done - Most in Life,2163
2021-02-01 17:05:09.432254,slug,Baptiste,Kill Streak - Best,8
2021-02-01 17:05:09.432254,slug,Baptiste,Objective Kills - Most in Game,11
2021-02-01 17:05:09.432254,slug,Baptiste,Objective Time - Most in Game,270
2021-02-01 17:05:09.432254,slug,Baptiste,Time Spent on Fire - Most in Game,70
2021-02-01 17:05:09.432254,slug,Baptiste,Weapon Accuracy - Best in Game,0.75
2021-02-01 17:05:09.432254,slug,Baptiste,Medals - Bronze,11
2021-02-01 17:05:09.432254,slug,Baptiste,Medals - Silver,14
2021-02-01 17:05:09.432254,slug,Baptiste,Medals - Gold,3
2021-02-01 17:05:09.432254,slug,Baptiste,Medals,28
2021-02-01 17:05:09.432254,slug,Baptiste,Card,1
2021-02-01 17:05:09.432254,slug,Baptiste,Defensive Assists,69
2021-02-01 17:05:09.432254,slug,Baptiste,Defensive Assists - Avg per 10 Min,8.85
2021-02-01 17:05:09.432254,slug,Baptiste,Defensive Assists - Most in Game,19
2021-02-01 17:05:09.432254,slug,Baptiste,Healing Done,26194
2021-02-01 17:05:09.432254,slug,Baptiste,Healing Done - Most in Game,4048
2021-02-01 17:05:09.432254,slug,Baptiste,Offensive Assists,9
2021-02-01 17:05:09.432254,slug,Baptiste,Offensive Assists - Avg per 10 Min,1.15
2021-02-01 17:05:09.432254,slug,Baptiste,Offensive Assists - Most in Game,4
2021-02-01 17:05:09.432254,slug,Baptiste,Amplification Matrix Assists,9
2021-02-01 17:05:09.432254,slug,Baptiste,Amplification Matrix Assists - Avg per 10 Min,1.15
2021-02-01 17:05:09.432254,slug,Baptiste,Amplification Matrix Assists - Best in Game,4
2021-02-01 17:05:09.432254,slug,Baptiste,Amplification Matrix Casts,18
2021-02-01 17:05:09.432254,slug,Baptiste,Amplification Matrix Casts - Avg per 10 Min,2.31
2021-02-01 17:05:09.432254,slug,Baptiste,Amplification Matrix Casts - Most in Game,3
2021-02-01 17:05:09.432254,slug,Baptiste,Damage Amplified,2940
2021-02-01 17:05:09.432254,slug,Baptiste,Damage Amplified - Avg per 10 Min,377
2021-02-01 17:05:09.432254,slug,Baptiste,Damage Amplified - Most in Game,620
2021-02-01 17:05:09.432254,slug,Baptiste,Healing Accuracy,0.42
2021-02-01 17:05:09.432254,slug,Baptiste,Healing Accuracy - Best in Game,0.57
2021-02-01 17:05:09.432254,slug,Baptiste,Immortality Field Deaths Prevented,4
2021-02-01 17:05:09.432254,slug,Baptiste,Immortality Field Deaths Prevented - Avg per 10 Min,0.51
2021-02-01 17:05:09.432254,slug,Baptiste,Immortality Field Deaths Prevented - Most in Game,4
2021-02-01 17:05:09.432254,slug,Baptiste,Self Healing,9096
2021-02-01 17:05:09.432254,slug,Baptiste,Self Healing - Avg per 10 Min,1167
2021-02-01 17:05:09.432254,slug,Baptiste,Self Healing - Most in Game,1529
2021-02-01 17:05:09.432254,slug,Baptiste,All Damage Done - Avg per 10 Min,6113
2021-02-01 17:05:09.432254,slug,Baptiste,Barrier Damage Done - Avg per 10 Min,2095
2021-02-01 17:05:09.432254,slug,Baptiste,Critical Hits - Avg per 10 Min,13.47
2021-02-01 17:05:09.432254,slug,Baptiste,Deaths - Avg per 10 Min,7.18
2021-02-01 17:05:09.432254,slug,Baptiste,Eliminations - Avg per 10 Min,10.64
2021-02-01 17:05:09.432254,slug,Baptiste,Eliminations per Life,1.48
2021-02-01 17:05:09.432254,slug,Baptiste,Final Blows - Avg per 10 Min,2.95
2021-02-01 17:05:09.432254,slug,Baptiste,Healing Done - Avg per 10 Min,3359
2021-02-01 17:05:09.432254,slug,Baptiste,Hero Damage Done - Avg per 10 Min,3889
2021-02-01 17:05:09.432254,slug,Baptiste,Objective Kills - Avg per 10 Min,5.77
2021-02-01 17:05:09.432254,slug,Baptiste,Objective Time - Avg per 10 Min,73
2021-02-01 17:05:09.432254,slug,Baptiste,Time Spent on Fire - Avg per 10 Min,19
2021-02-01 17:05:09.432254,slug,Brigitte,Time Played,376
2021-02-01 17:05:09.432254,slug,Brigitte,All Damage Done,1528
2021-02-01 17:05:09.432254,slug,Brigitte,Barrier Damage Done,245
2021-02-01 17:05:09.432254,slug,Brigitte,Deaths,6
2021-02-01 17:05:09.432254,slug,Brigitte,Hero Damage Done,1253
2021-02-01 17:05:09.432254,slug,Brigitte,Objective Time,12
2021-02-01 17:05:09.432254,slug,Brigitte,All Damage Done - Most in Game,1528
2021-02-01 17:05:09.432254,slug,Brigitte,All Damage Done - Most in Life,845
2021-02-01 17:05:09.432254,slug,Brigitte,Barrier Damage Done - Most in Game,245
2021-02-01 17:05:09.432254,slug,Brigitte,Hero Damage Done - Most in Game,1253
2021-02-01 17:05:09.432254,slug,Brigitte,Hero Damage Done - Most in Life,815
2021-02-01 17:05:09.432254,slug,Brigitte,Objective Time - Most in Game,12
2021-02-01 17:05:09.432254,slug,Brigitte,Medals - Bronze,1
2021-02-01 17:05:09.432254,slug,Brigitte,Medals,1
2021-02-01 17:05:09.432254,slug,Brigitte,Defensive Assists,2
2021-02-01 17:05:09.432254,slug,Brigitte,Defensive Assists - Avg per 10 Min,3.19
2021-02-01 17:05:09.432254,slug,Brigitte,Healing Done,1425
2021-02-01 17:05:09.432254,slug,Brigitte,Healing Done - Most in Game,1425
2021-02-01 17:05:09.432254,slug,Brigitte,Armor Provided,385
2021-02-01 17:05:09.432254,slug,Brigitte,Armor Provided - Avg per 10 Min,614
2021-02-01 17:05:09.432254,slug,Brigitte,Armor Provided - Most in Game,385
2021-02-01 17:05:09.432254,slug,Brigitte,Damage Blocked,1071
2021-02-01 17:05:09.432254,slug,Brigitte,Damage Blocked - Avg per 10 Min,1708
2021-02-01 17:05:09.432254,slug,Brigitte,Damage Blocked - Most in Game,1071
2021-02-01 17:05:09.432254,slug,Brigitte,Inspire Uptime Percentage,0.16
2021-02-01 17:05:09.432254,slug,Brigitte,Self Healing,512
2021-02-01 17:05:09.432254,slug,Brigitte,Self Healing - Avg per 10 Min,817
2021-02-01 17:05:09.432254,slug,Brigitte,All Damage Done - Avg per 10 Min,2435
2021-02-01 17:05:09.432254,slug,Brigitte,Barrier Damage Done - Avg per 10 Min,391
