2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Objective Kills,45
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Objective Time,571
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Time Spent on Fire,146
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Weapon Accuracy,0.2
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Games Lost,6
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Games Played,12
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Games Won,6
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Time Played,77
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Win Percentage,0.5
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,All Damage Done - Most in Game,9006
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,All Damage Done - Most in Life,2499
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Barrier Damage Done - Most in Game,3467
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Critical Hits - Most in Game,16
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Critical Hits - Most in Life,15
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Eliminations - Most in Game,17
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Eliminations - Most in Life,8
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Final Blows - Most in Game,4
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Hero Damage Done - Most in Game,5490
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Hero Damage Done - Most in Life,2163
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Kill Streak - Best,8
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Objective Kills - Most in Game,11
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Objective Time - Most in Game,270
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Time Spent on Fire - Most in Game,70
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Weapon Accuracy - Best in Game,0.75
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Medals - Bronze,11
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Medals - Silver,14
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Medals - Gold,3
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Medals,28
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Card,1
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Defensive Assists,69
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Defensive Assists - Avg per 10 Min,8.85
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Defensive Assists - Most in Game,19
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Healing Done,26194
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Healing Done - Most in Game,4048
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Offensive Assists,9
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Offensive Assists - Avg per 10 Min,1.15
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Offensive Assists - Most in Game,4
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Amplification Matrix Assists,9
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Amplification Matrix Assists - Avg per 10 Min,1.15
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Amplification Matrix Assists - Best in Game,4
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Amplification Matrix Casts,18
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Amplification Matrix Casts - Avg per 10 Min,2.31
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Amplification Matrix Casts - Most in Game,3
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Damage Amplified,2940
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Damage Amplified - Avg per 10 Min,377
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Damage Amplified - Most in Game,620
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Healing Accuracy,0.42
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Healing Accuracy - Best in Game,0.57
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Immortality Field Deaths Prevented,4
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Immortality Field Deaths Prevented - Avg per 10 Min,0.51
